,Orden de Satélite,Num OS,Estado,Satélite Procesos,Valor Unitario,Cantidad,Producto,SubTotal,Orden de Produccion,Proveedor,Orden Satélite PDF,Fecha Entrega a Satélite,Fecha Promesa a Molt,Ficha Técnica Producto,Orden de Producción Det,Creado por,Cliente,Id.,Costeo
1831,OS-0019627-6372-1-Buzo / Cerrado,19627,En Proceso,Bordado,4000.0,25.0,Buzo / Cerrado,100000.0,OP-Solumn Health 0006372,SEIIBA  SAS,,24/10/2025,27/10/2025,,6372-1-Buzo / Cerrado,Cristian Esguerra,Solumn Health,74288365,COS-0011983 (Costeo)
1832,OS-0019626-6343-5-Gorra seis cascos,19626,En Proceso,Bordado,1200.0,302.0,Gorra seis cascos,362400.0,OP-PARKING INTERNATIONAL S A S 0006343,SEIIBA  SAS,,24/10/2025,28/10/2025,,6343-5-Gorra seis cascos,Cristian Esguerra,PARKING INTERNATIONAL S A S,74282738,COS-0011938 (Costeo)
1833,OS-0019625-6343-2-PANTALÓN  CALLE  DAMA,19625,En Proceso,Confección,9000.0,380.0,PANTALÓN  CALLE  DAMA,3420000.0,OP-PARKING INTERNATIONAL S A S 0006343,YAMILE SANDOVAL CAMACHO,,27/10/2025,14/11/2025,208012 FT. PANTALÓN CALLE GRIS DAMA PARKING.pdf,6343-2-PANTALÓN  CALLE  DAMA,Cristian Esguerra,PARKING INTERNATIONAL S A S,74280427,COS-0011938 (Costeo)
1834,OS-0019624-6283-6-Conjunto Antifluido Materno,19624,En Proceso,Confección,13000.0,25.0,Conjunto Antifluido Materno,325000.0,OP-CLINICOS 0006283,LUZMILA REYES ROJAS,,27/10/2025,30/10/2025,212009 FT. UNIFORME CLINICOS AZUL OSCURO MATERNO DAMA LOGO CLINICOS (1).pdf,6283-6-Conjunto Antifluido Materno,Cristian Esguerra,CLINICOS,74279052,COS-0011750 (Costeo)
1835,OS-0019623-6283-2-CONJUNTO ANTIFLUIDO,19623,En Proceso,Confección,13000.0,7.0,CONJUNTO ANTIFLUIDO,91000.0,OP-CLINICOS 0006283,LUZMILA REYES ROJAS,,27/10/2025,30/10/2025,112004 FT_ UNIFORME CLINICOS AZUL OSCURO HOMBRE LOGO CLINICOS.pdf,6283-2-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,74279039,COS-0011750 (Costeo)
1836,OS-0019622-6330-1-Gorra seis cascos,19622,En Proceso,Corte y Confeccion,6000.0,35.0,Gorra seis cascos,210000.0,OP-NUTRESA 0006330,GORRAS RUIZ IBAGUE SAS,,24/10/2025,04/11/2025,310081 FT. GORRA JEAN CORRA GOURMET GRUPO ACO UNISEX.pdf,6330-1-Gorra seis cascos,Cristian Esguerra,NUTRESA,74277365,COS-0011901 (Costeo)
1837,OS-0019621-6153-4-ROMPEVIENTOS REFLECTIVA,19621,Creado,Confección,13000.0,12.0,ROMPEVIENTOS REFLECTIVA,156000.0,OP-TALMA COLOMBIA 0006153,,,24/10/2025,25/10/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (3).pdf,6153-4-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74275671,COS-0011343 (Costeo)
1838,OS-0019620-6153-4-ROMPEVIENTOS REFLECTIVA,19620,En Proceso,Confección,13000.0,10.0,ROMPEVIENTOS REFLECTIVA,130000.0,OP-TALMA COLOMBIA 0006153,JAINER  ESTEVAN RIAÑO REMIGIO,,27/10/2025,07/11/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (3).pdf,6153-4-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74275641,COS-0011343 (Costeo)
1839,OS-0019619-6297-1-ROMPEVIENTOS REFLECTIVA,19619,Creado,Confección,13000.0,3.0,ROMPEVIENTOS REFLECTIVA,39000.0,OP-TALMA COLOMBIA 0006297,,,24/10/2025,25/10/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (2).pdf,6297-1-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74275478,COS-0011808 (Costeo)
1840,OS-0019618-6297-1-ROMPEVIENTOS REFLECTIVA,19618,En Proceso,Confección,13000.0,72.0,ROMPEVIENTOS REFLECTIVA,936000.0,OP-TALMA COLOMBIA 0006297,JAINER  ESTEVAN RIAÑO REMIGIO,,27/10/2025,07/11/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (2).pdf,6297-1-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74275452,COS-0011808 (Costeo)
1841,OS-0019617-6297-14-CHAQUETA MICHELIN,19617,Creado,Confección,13000.0,7.0,CHAQUETA MICHELIN,91000.0,OP-TALMA COLOMBIA 0006297,,,24/10/2025,25/10/2025,106109 FT. CHAQUETA CLIMA FRIO VERDE NEON TALMA HOMBRE.pdf,6297-14-CHAQUETA MICHELIN,Cristian Esguerra,TALMA COLOMBIA,74275356,COS-0011808 (Costeo)
1842,OS-0019616-6297-14-CHAQUETA MICHELIN,19616,En Proceso,Confección,15000.0,170.0,CHAQUETA MICHELIN,2550000.0,OP-TALMA COLOMBIA 0006297,JAINER  ESTEVAN RIAÑO REMIGIO,,27/10/2025,07/10/2025,106109 FT. CHAQUETA CLIMA FRIO VERDE NEON TALMA HOMBRE.pdf,6297-14-CHAQUETA MICHELIN,Cristian Esguerra,TALMA COLOMBIA,74275272,COS-0011808 (Costeo)
1843,OS-0019615-6098-2-CHALECO ENGUATADO,19615,En Proceso,Confección,10000.0,350.0,CHALECO ENGUATADO,3500000.0,OP-CLARO COLOMBIA 0006098,JAINER  ESTEVAN RIAÑO REMIGIO,,27/10/2025,10/11/2025,,6098-2-CHALECO ENGUATADO,Cristian Esguerra,CLARO COLOMBIA,74271763,COS-0011227 (Costeo)
1844,OS-0019614-6098-6-CHALECO ENGUATADO,19614,En Proceso,Corte y Confeccion,10000.0,400.0,CHALECO ENGUATADO,4000000.0,OP-CLARO COLOMBIA 0006098,JULIAN ORTIZ VERA,,27/10/2025,07/11/2025,205016 FT. CHALECO ACOLCHADO GRIS CLIMA FRIO CAVS CLARO DAMA.pdf,6098-6-CHALECO ENGUATADO,Cristian Esguerra,CLARO COLOMBIA,74271502,COS-0011227 (Costeo)
1845,OS-0019613-6362-4-CAMISA MANGA LARGA,19613,En Proceso,Corte y Confeccion,17500.0,10.0,CAMISA MANGA LARGA,175000.0,OP-DI-MATIC 0006362,MARIO GOMEZ VELANDIA,,23/10/2025,25/10/2025,,6362-4-CAMISA MANGA LARGA,Carolina Gonzalez,DI-MATIC,74269937,COS-0011917 (Costeo)
1846,OS-0019612-6362-3-CAMISA MANGA LARGA,19612,En Proceso,Corte y Confeccion,17500.0,6.0,CAMISA MANGA LARGA,105000.0,OP-DI-MATIC 0006362,MARIO GOMEZ VELANDIA,,23/10/2025,25/10/2025,,6362-3-CAMISA MANGA LARGA,Carolina Gonzalez,DI-MATIC,74269914,COS-0011917 (Costeo)
1847,OS-0019611-6362-2-CAMISA MANGA LARGA,19611,En Proceso,Corte y Confeccion,17500.0,8.0,CAMISA MANGA LARGA,140000.0,OP-DI-MATIC 0006362,MARIO GOMEZ VELANDIA,,23/10/2025,25/10/2025,,6362-2-CAMISA MANGA LARGA,Carolina Gonzalez,DI-MATIC,74269887,COS-0011917 (Costeo)
1848,OS-0019610-6362-1-CAMISA MANGA LARGA,19610,En Proceso,Corte y Confeccion,17500.0,8.0,CAMISA MANGA LARGA,140000.0,OP-DI-MATIC 0006362,MARIO GOMEZ VELANDIA,,23/10/2025,25/10/2025,,6362-1-CAMISA MANGA LARGA,Carolina Gonzalez,DI-MATIC,74269724,COS-0011917 (Costeo)
1849,OS-0019609-6254-7-CAMISA MANGA CORTA,19609,Finalizado,Bordado,3800.0,18.0,CAMISA MANGA CORTA,68400.0,OP-Molt Panamá (PA) 0006254,CARLOS ANDRES PEREZ CELIS,,24/10/2025,28/10/2025,102124 FT. CAMISA BLANCO AZUL OSCURO MANGA CORTA VENTAS INCHCAPE PANAMÁ HOMBRE.pdf,6254-7-CAMISA MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74266384,COS-0011676 (Costeo)
1850,OS-0019608-6098-6-CHALECO ENGUATADO,19608,Finalizado,Bordado,800.0,400.0,CHALECO ENGUATADO,320000.0,OP-CLARO COLOMBIA 0006098,SEIIBA  SAS,,24/10/2025,27/10/2025,205016 FT. CHALECO ACOLCHADO GRIS CLIMA FRIO CAVS CLARO DAMA.pdf,6098-6-CHALECO ENGUATADO,Cristian Esguerra,CLARO COLOMBIA,74265389,COS-0011227 (Costeo)
1851,OS-0019607-6098-2-CHALECO ENGUATADO,19607,Finalizado,Bordado,800.0,350.0,CHALECO ENGUATADO,280000.0,OP-CLARO COLOMBIA 0006098,SEIIBA  SAS,,24/10/2025,27/10/2025,,6098-2-CHALECO ENGUATADO,Cristian Esguerra,CLARO COLOMBIA,74265169,COS-0011227 (Costeo)
1852,OS-0019606-6283-12-camisa,19606,Creado,Confección,12500.0,12.0,camisa,150000.0,OP-CLINICOS 0006283,NEIFI CONSTANZA MORALES CASTAÑO,,11/11/2025,18/11/2025,102025 FT. CAMISA BLANCO RAYA AZUL CLINICOS.pdf,6283-12-camisa,Cristian Esguerra,CLINICOS,74264441,COS-0011750 (Costeo)
1853,OS-0019605-6283-12-camisa,19605,En Proceso,Confección,12500.0,75.0,camisa,937500.0,OP-CLINICOS 0006283,NEIFI CONSTANZA MORALES CASTAÑO,,24/10/2025,07/11/2025,102025 FT. CAMISA BLANCO RAYA AZUL CLINICOS.pdf,6283-12-camisa,Cristian Esguerra,CLINICOS,74264317,COS-0011750 (Costeo)
1854,OS-0019604-6297-6-CAMISA MANGA CORTA,19604,Finalizado,Bordado,1000.0,9.0,CAMISA MANGA CORTA,9000.0,OP-TALMA COLOMBIA 0006297,SEIIBA  SAS,,24/10/2025,28/10/2025,102090 FT. CAMISA POPELINA AZUL RAYAS MANGA CORTA TALMA HOMBRE.pdf,6297-6-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,74261476,COS-0011808 (Costeo)
1855,OS-0019603-6300-1-overol enterizo,19603,Finalizado,Bordado,11300.0,30.0,overol enterizo overol enterizo,339000.0,OP-MOLT Proyectos 0006300,SEIIBA  SAS,,24/10/2025,28/10/2025,111028 FT. OVEROL NEGRO LOGO RESERVA DRH CENFEFA HOMBRE (1).pdf,6300-1-overol enterizo,Cristian Esguerra,USO,74261098,COS-0011780 (Costeo)
1856,OS-0019602-6297-14-CHAQUETA MICHELIN,19602,Creado,Estampado,1400.0,7.0,CHAQUETA MICHELIN,9800.0,OP-TALMA COLOMBIA 0006297,DORA NANCY HERRERA MARTINEZ,,23/10/2025,24/10/2025,106109 FT. CHAQUETA CLIMA FRIO VERDE NEON TALMA HOMBRE.pdf,6297-14-CHAQUETA MICHELIN,Cristian Esguerra,TALMA COLOMBIA,74216765,COS-0011808 (Costeo)
1857,OS-0019601-6297-14-CHAQUETA MICHELIN,19601,Finalizado,Estampado,1400.0,170.0,CHAQUETA MICHELIN,238000.0,OP-TALMA COLOMBIA 0006297,DORA NANCY HERRERA MARTINEZ,,24/10/2025,29/10/2025,106109 FT. CHAQUETA CLIMA FRIO VERDE NEON TALMA HOMBRE.pdf,6297-14-CHAQUETA MICHELIN,Cristian Esguerra,TALMA COLOMBIA,74216643,COS-0011808 (Costeo)
1858,OS-0019600-6153-10-CHALECO REFLECTIVO,19600,Finalizado,Sublimación,1156.0,12.0,CHALECO REFLECTIVO,13872.0,OP-TALMA COLOMBIA 0006153,VIVID PRINT SERVICE SAS,,24/10/2025,29/10/2025,105022 FT. CHALECO VERDE NEON MOD SAI BOGOTÁ HOMBRE.pdf,6153-10-CHALECO REFLECTIVO,Cristian Esguerra,TALMA COLOMBIA,74215168,COS-0011343 (Costeo)
1859,OS-0019599-6205-2-CHALECO REFLECTIVO,19599,Finalizado,Sublimación,1156.0,3.0,CHALECO REFLECTIVO,3468.0,OP-TALMA COLOMBIA 0006205,VIVID PRINT SERVICE SAS,,24/10/2025,29/10/2025,,6205-2-CHALECO REFLECTIVO,Cristian Esguerra,TALMA COLOMBIA,74214930,COS-0011536 (Costeo)
1860,OS-0019598-6297-1-ROMPEVIENTOS REFLECTIVA,19598,Creado,Estampado,1400.0,3.0,ROMPEVIENTOS REFLECTIVA,4200.0,OP-TALMA COLOMBIA 0006297,DORA NANCY HERRERA MARTINEZ,,23/10/2025,24/10/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (2).pdf,6297-1-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74213845,COS-0011808 (Costeo)
1861,OS-0019597-6297-1-ROMPEVIENTOS REFLECTIVA,19597,En Proceso,Estampado,1400.0,72.0,ROMPEVIENTOS REFLECTIVA,100800.0,OP-TALMA COLOMBIA 0006297,DORA NANCY HERRERA MARTINEZ,,24/10/2025,28/10/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (2).pdf,6297-1-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74213787,COS-0011808 (Costeo)
1862,OS-0019596-6153-4-ROMPEVIENTOS REFLECTIVA,19596,Creado,Estampado,1400.0,12.0,ROMPEVIENTOS REFLECTIVA,16800.0,OP-TALMA COLOMBIA 0006153,,,23/10/2025,24/10/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (3).pdf,6153-4-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74212793,COS-0011343 (Costeo)
1863,OS-0019595-6153-4-ROMPEVIENTOS REFLECTIVA,19595,Finalizado,Estampado,1400.0,10.0,ROMPEVIENTOS REFLECTIVA,14000.0,OP-TALMA COLOMBIA 0006153,DORA NANCY HERRERA MARTINEZ,,24/10/2025,28/10/2025,106110 FT. CHAQUETA ROMPEVIENTOS VERDE NEON TALMA HOMBRE (3).pdf,6153-4-ROMPEVIENTOS REFLECTIVA,Cristian Esguerra,TALMA COLOMBIA,74212297,COS-0011343 (Costeo)
1864,OS-0019594-6297-15-camisa,19594,En Proceso,Confección,11500.0,79.0,camisa,908500.0,OP-TALMA COLOMBIA 0006297,JUAN SEBASTIAN PEREZ AYALA,,12/11/2025,21/11/2025,202091 FT. BLUSA POPELINA BLANCA RAYAS MANGA CORTA TALMA DAMA.pdf,6297-15-camisa,Cristian Esguerra,TALMA COLOMBIA,74208703,COS-0011808 (Costeo)
1865,OS-0019593-6153-21-CHALECO REFLECTIVO,19593,Finalizado,Estampado,1900.0,68.0,CHALECO REFLECTIVO,129200.0,OP-TALMA COLOMBIA 0006153,SEIIO,,23/10/2025,28/10/2025,,6153-21-CHALECO REFLECTIVO,Cristian Esguerra,TALMA COLOMBIA,74207590,COS-0011343 (Costeo)
1866,OS-0019592-6153-16-CHALECO REFLECTIVO,19592,En Proceso,Estampado,1900.0,35.0,CHALECO REFLECTIVO,66500.0,OP-TALMA COLOMBIA 0006153,SEIIO,,23/10/2025,28/10/2025,105023 FT. CHALECO NARANJA PARQUEADOR TALMA EXBOGOTÁ HOMBRE.pdf,6153-16-CHALECO REFLECTIVO,Cristian Esguerra,TALMA COLOMBIA,74207361,COS-0011343 (Costeo)
1867,OS-0019591-6249-1-POLO MANGA CORTA,19591,En Proceso,Confección,7500.0,150.0,POLO MANGA CORTA,1125000.0,OP-Molt Panamá (PA) 0006249,MAUDA  YANETH ALFONSO ROA,,24/10/2025,05/11/2025,103259 FT. POLO GRIS OSCURO MEGAPOLIS MOLT PANAMÁ HOMBRE.pdf,6249-1-POLO MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74206732,COS-0011438 (Costeo)
1868,OS-0019590-6297-13-CHALECO REFLECTIVO,19590,En Proceso,Estampado,4200.0,43.0,CHALECO REFLECTIVO,180600.0,OP-TALMA COLOMBIA 0006297,COLOR PRINT SERVICE SAS - NELSON,,23/10/2025,29/10/2025,105027 FT. CHALECO VERDE NEON DOBLE FAZ TALMA HOMBRE.pdf,6297-13-CHALECO REFLECTIVO,Cristian Esguerra,TALMA COLOMBIA,74206489,COS-0011808 (Costeo)
1869,OS-0019589-6297-16-CAMISA MANGA CORTA,19589,En Proceso,Confección,12500.0,182.0,CAMISA MANGA CORTA,2275000.0,OP-TALMA COLOMBIA 0006297,OLGA LUCIA GARCIA LOPEZ,,24/10/2025,10/11/2025,102089 FT. CAMISA POPELINA BLANCA RAYAS MANGA CORTA TALMA HOMBRE.pdf,6297-16-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,74204319,COS-0011808 (Costeo)
1870,OS-0019588-6335-5-Pantalón dotación,19588,En Proceso,Corte,900.0,60.0,Pantalón dotación,54000.0,OP-CREDIMINUTO 0006335,SANDRA CAROLINA RATIVA BERNAL,,23/10/2025,27/10/2025,FT. JEAN NEGRO CAV Y TIENDA CLARO DAMA.pdf,6335-5-Pantalón dotación,Cristian Esguerra,CREDIMINUTO,74198775,COS-0011912 (Costeo)
1871,OS-0019587-6335-3-Pantalón dotación,19587,En Proceso,Corte,900.0,60.0,Pantalón dotación,54000.0,OP-CREDIMINUTO 0006335,SANDRA CAROLINA RATIVA BERNAL,,23/10/2025,27/10/2025,108080 FT. JEAN NEGRO CAVS CLARO HOMBRE.pdf,6335-3-Pantalón dotación,Cristian Esguerra,CREDIMINUTO,74198610,COS-0011912 (Costeo)
1872,OS-0019586-6334-9-Pantalón dotación,19586,En Proceso,Corte,900.0,70.0,Pantalón dotación,63000.0,OP-CLARO COLOMBIA 0006334,SANDRA CAROLINA RATIVA BERNAL,,23/10/2025,27/10/2025,FT. JEAN NEGRO CAV Y TIENDA CLARO DAMA.pdf,6334-9-Pantalón dotación,Cristian Esguerra,CLARO COLOMBIA,74197899,COS-0011911 (Costeo)
1873,OS-0019585-6334-4-Pantalón dotación,19585,Finalizado,Corte,900.0,195.0,Pantalón dotación,175500.0,OP-CLARO COLOMBIA 0006334,SANDRA CAROLINA RATIVA BERNAL,,23/10/2025,27/10/2025,FT. JEAN NEGRO CAV Y TIENDA CLARO HOMBRE.pdf,6334-4-Pantalón dotación,Cristian Esguerra,CLARO COLOMBIA,74197174,COS-0011911 (Costeo)
1874,OS-0019584-6334-6-CHALECO ENGUATADO,19584,En Proceso,Corte,1200.0,135.0,CHALECO ENGUATADO,162000.0,OP-CLARO COLOMBIA 0006334,SANDRA CAROLINA RATIVA BERNAL,,23/10/2025,27/10/2025,205016 FT. CHALECO ACOLCHADO GRIS CLIMA FRIO CAVS CLARO DAMA.pdf,6334-6-CHALECO ENGUATADO,Cristian Esguerra,CLARO COLOMBIA,74196499,COS-0011911 (Costeo)
1875,OS-0019583-6334-2-CHALECO ENGUATADO,19583,En Proceso,Corte,1200.0,15.0,CHALECO ENGUATADO,18000.0,OP-CLARO COLOMBIA 0006334,SANDRA CAROLINA RATIVA BERNAL,,23/10/2025,27/10/2025,105037 FT. CHALECO ACOLCHADO GRIS CLIMA FRIO CAVS CLARO HOMBRE.pdf,6334-2-CHALECO ENGUATADO,Cristian Esguerra,CLARO COLOMBIA,74195892,COS-0011911 (Costeo)
1876,OS-0019582-6297-19-Pantalón dotación,19582,En Proceso,Confección,13800.0,252.0,Pantalón dotación,3477600.0,OP-TALMA COLOMBIA 0006297,JUAN CARLOS GUTIERREZ LINARES,,24/10/2025,10/11/2025,108051 FT. PANTALÓN CALLE AZUL OSCURO TALMA HOMBRE.pdf,6297-19-Pantalón dotación,Cristian Esguerra,TALMA COLOMBIA,74156255,COS-0011808 (Costeo)
1877,OS-0019581-6249-10-Pantalón dotación,19581,En Proceso,Confección,9000.0,73.0,Pantalón dotación,657000.0,OP-Molt Panamá (PA) 0006249,MC COMPANY SAS - EDWIN TORRES,,23/10/2025,07/11/2025,108136 FT. PANTALÓN RESORTADO NEGRO MEGAPOLIS HOMBRE.pdf,6249-10-Pantalón dotación,Cristian Esguerra,Molt Panamá (PA),74155899,COS-0011438 (Costeo)
1878,OS-0019580-6249-9-Pantalón dotación,19580,En Proceso,Confección,9000.0,67.0,Pantalón dotación,603000.0,OP-Molt Panamá (PA) 0006249,MC COMPANY SAS - EDWIN TORRES,,23/10/2025,07/11/2025,208137 FT. PANTALÓN RESORTADO NEGRO MEGAPOLIS DAMA.pdf,6249-9-Pantalón dotación,Cristian Esguerra,Molt Panamá (PA),74155533,COS-0011438 (Costeo)
1879,OS-0019579-6249-6-CAMISA MANGA CORTA,19579,En Proceso,Confección,14500.0,45.0,CAMISA MANGA CORTA,652500.0,OP-Molt Panamá (PA) 0006249,JHON KEVIN TRUJILLO GAVIRIA,,23/10/2025,07/11/2025,102198 FT. CAMISA MANGA CORTA NEGRO GRIS CUELLO NERÚ LOGO MEGAPOLIS HOTEL MEGAPOLIS HOMBRE.pdf,6249-6-CAMISA MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74153308,COS-0011438 (Costeo)
1880,OS-0019578-6249-4-CAMISA MANGA CORTA,19578,En Proceso,Confección,14500.0,12.0,CAMISA MANGA CORTA,174000.0,OP-Molt Panamá (PA) 0006249,JHON KEVIN TRUJILLO GAVIRIA,,23/10/2025,07/11/2025,102197 FT. CAMISA MANGA CORTA NEGRO GRIS CUELLO NERÚ LOGO WORLD MEGAPOLIS HOMBRE.pdf,6249-4-CAMISA MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74153018,COS-0011438 (Costeo)
1881,OS-0019577-6249-5-CAMISA MANGA CORTA,19577,En Proceso,Confección,14500.0,45.0,CAMISA MANGA CORTA,652500.0,OP-Molt Panamá (PA) 0006249,JHON KEVIN TRUJILLO GAVIRIA,,23/10/2025,07/11/2025,202214 FT. BLUSA MANGA CORTA NEGRO GRIS CUELLO NERÚ LOGO MEGAPOLIS HOLTEL MEGAPOLIS DAMA.pdf,6249-5-CAMISA MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74152806,COS-0011438 (Costeo)
1882,OS-0019576-6249-3-CAMISA MANGA CORTA,19576,En Proceso,Confección,14500.0,6.0,CAMISA MANGA CORTA,87000.0,OP-Molt Panamá (PA) 0006249,JHON KEVIN TRUJILLO GAVIRIA,,22/10/2025,23/10/2025,202213 FT. BLUSA MANGA CORTA NEGRO GRIS CUELLO NERÚ LOGO WORLD MEGAPOLIS DAMA.pdf,6249-3-CAMISA MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74152430,COS-0011438 (Costeo)
1883,OS-0019575-6354-1-Gorra seis cascos,19575,En Proceso,Corte y Confeccion,6000.0,5.0,Gorra seis cascos,30000.0,OP-NUTRESA 0006354,GORRAS RUIZ IBAGUE SAS,,22/10/2025,30/10/2025,310071_FT._GORRA_NEGRO_COORDINADOR_CORRAL_TRADICIONAL_GRUPO_ACO_UNISEX[1].pdf,6354-1-Gorra seis cascos,Cristian Esguerra,NUTRESA,74148580,COS-0011959 (Costeo)
1884,OS-0019574-6282-1-CAMISA MANGA CORTA,19574,En Proceso,Confección,14500.0,18.0,CAMISA MANGA CORTA,261000.0,OP-Molt Panamá (PA) 0006282,JHON KEVIN TRUJILLO GAVIRIA,,22/10/2025,24/10/2025,202212 FT. BLUSA NEGRO MANGA CORTA LOGO EXPRESSO MEGAPOLIS MOLT PANAMÁ DAMA.pdf,6282-1-CAMISA MANGA CORTA,Cristian Esguerra,Molt Panamá (PA),74148078,COS-0011751 (Costeo)
1885,OS-0019573-6297-5-CAMISA MANGA CORTA,19573,En Proceso,Confección,12500.0,182.0,CAMISA MANGA CORTA,2275000.0,OP-TALMA COLOMBIA 0006297,EMILCE SOLER MARTINEZ,,23/10/2025,10/11/2025,102086 FT. CAMISA OXFORD BLANCA MANGA CORTA TALMA HOMBRE.pdf,6297-5-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,74144376,COS-0011808 (Costeo)
1886,OS-0019572-6297-5-CAMISA MANGA CORTA,19572,En Proceso,Bordado,900.0,182.0,CAMISA MANGA CORTA,163800.0,OP-TALMA COLOMBIA 0006297,SEIIBA  SAS,,22/10/2025,27/10/2025,102086 FT. CAMISA OXFORD BLANCA MANGA CORTA TALMA HOMBRE.pdf,6297-5-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,74144012,COS-0011808 (Costeo)
1887,OS-0019571-6346-4-HODDIE CERRADO,19571,En Proceso,Bordado,1500.0,8.0,HODDIE CERRADO,12000.0,OP-ZELO 0006346,CARLOS ANDRES PEREZ CELIS,,23/10/2025,27/10/2025,104132 FT. HOODIE NEGRO ZELO HOMBRE.pdf,6346-4-HODDIE CERRADO,Cristian Esguerra,ZELO,74138885,COS-0011886 (Costeo)
1888,OS-0019570-6297-12-CAMISA MANGA LARGA,19570,Finalizado,Estampado,1300.0,131.0,CAMISA MANGA LARGA,170300.0,OP-TALMA COLOMBIA 0006297,DORA NANCY HERRERA MARTINEZ,,22/10/2025,27/10/2025,102085 FT. CAMISA OVEROL AZUL OSCURO TALMA HOMBRE.pdf,6297-12-CAMISA MANGA LARGA,Cristian Esguerra,TALMA COLOMBIA,74130313,COS-0011808 (Costeo)
1889,OS-0019569-6330-1-Gorra seis cascos,19569,En Proceso,Prelavado,2000.0,5.0,Gorra seis cascos,10000.0,OP-NUTRESA 0006330,JOSE FRANCISCO VARGAS ROLDAN,,22/10/2025,24/10/2025,310081 FT. GORRA JEAN CORRA GOURMET GRUPO ACO UNISEX.pdf,6330-1-Gorra seis cascos,Cristian Esguerra,NUTRESA,74128396,COS-0011901 (Costeo)
1890,OS-0019568-6190-2-Pantalón dotación,19568,En Proceso,Prelavado,1680.0,5.0,Pantalón dotación,8400.0,OP-Molt Panamá (PA) 0006190,JOSE FRANCISCO VARGAS ROLDAN,,22/10/2025,24/10/2025,108121 FT. JEAN CARGO AZUL OSCURO ENSA HOMBRE.pdf,6190-2-Pantalón dotación,Cristian Esguerra,Molt Panamá (PA),74127466,COS-0011507 (Costeo)
1891,OS-0019567-6335-1-POLO MANGA CORTA,19567,En Proceso,Bordado,950.0,120.0,POLO MANGA CORTA,114000.0,OP-CREDIMINUTO 0006335,SEIIBA  SAS,,22/10/2025,24/10/2025,FT. POLO ROJA CREDISMART DAMA Y HOMBRE.pdf,6335-1-POLO MANGA CORTA,Cristian Esguerra,CREDIMINUTO,74125330,COS-0011912 (Costeo)
1892,OS-0019566-6297-7-PANTALÓN CARGO,19566,En Proceso,Confección,8500.0,600.0,PANTALÓN CARGO,5100000.0,OP-TALMA COLOMBIA 0006297,INVERSIONES Y DOTACIONES ARGA S.A.S,,24/10/2025,13/11/2025,108052 FT. PANTALÓN CARGO OVEROL AZUL OSCURO TALMA HOMBRE.pdf,6297-7-PANTALÓN CARGO,Cristian Esguerra,TALMA COLOMBIA,74081515,COS-0011808 (Costeo)
1893,OS-0019565-6283-8-CONJUNTO ANTIFLUIDO,19565,En Proceso,Confección,11000.0,14.0,CONJUNTO ANTIFLUIDO,154000.0,OP-CLINICOS 0006283,LUZMILA REYES ROJAS,,22/10/2025,29/10/2025,112031 FT. UNIFORME CLINICOS AZUL OSCURO HOMBRE SIN BOLSILLO LOGO CLINICOS.pdf,6283-8-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,74080958,COS-0011750 (Costeo)
1894,OS-0019564-6343-3-OXFORD,19564,En Proceso,Confección,12500.0,380.0,OXFORD,4750000.0,OP-PARKING INTERNATIONAL S A S 0006343,ICYACOL,,24/10/2025,13/11/2025,202036 FT. BLUSA BLANCO VERDE GRIS PARKING DAMA.pdf,6343-3-OXFORD,Cristian Esguerra,PARKING INTERNATIONAL S A S,74075510,COS-0011938 (Costeo)
